label,area,perim,circ,intensity,layer
1,88,37.384776310850235,0.7912303969365911,120.7840909090909,empty
2,100,42.04163056034261,0.7109691573257697,167.19,empty
3,168,46.87005768508881,0.9610105816519987,77.79166666666667,empty
4,188,50.04163056034262,0.9434194130302924,73.91489361702128,empty
5,90,36.384776310850235,0.8543050132549964,117.54444444444445,empty
6,157,44.62741699796952,0.9906175427308354,78.3312101910828,empty
7,44,26.727922061357855,0.7739842942784018,95.9090909090909,l1
8,111,38.970562748477136,0.9184583956508783,105.55855855855856,l1
9,89,42.00609665440987,0.6338335390813074,104.98876404494382,l1
10,79,36.384776310850235,0.7498899560793858,111.07594936708861,l1
11,32,21.31370849898476,0.8852008021443688,112.09375,l1
12,26,15.65685424949238,1.3328282662203883,111.6923076923077,l1
13,23,15.656854249492381,1.1790403893488046,59.73913043478261,l1
14,1570,248.92388155425115,0.31840244022762765,20.277070063694268,l23
15,55,29.14213562373095,0.8138227075095928,30.12727272727273,l1
16,181,121.21320343559643,0.15480628224938664,20.226519337016576,l23
17,2604,311.4274528917194,0.33739376793860165,24.09447004608295,l23
18,36,33.03553390593274,0.41452402324136406,19.666666666666668,l23
19,52,24.727922061357855,1.0686560805681522,93.5,l1
20,63,28.14213562373095,0.9996231611452789,30.92063492063492,l23
21,436,194.62741699796953,0.14463996745822127,20.575688073394495,l23
22,46,44.24264068711929,0.295315073310701,20.956521739130434,l23
23,308,158.00609665440987,0.15502898067196053,19.948051948051948,l23
24,500,145.2193000900063,0.29794163028655385,19.7,l23
25,193,105.62741699796952,0.2173771315263965,27.502590673575128,l23
26,41,24.313708498984763,0.8715479979735034,79.17073170731707,l1
27,15,10.207106781186548,1.809238441544824,19.133333333333333,l23
28,31,28.69238815542512,0.4731928383077663,17.838709677419356,l23
29,44,37.72792206135785,0.3884514688779014,18.59090909090909,l23
30,86,34.72792206135785,0.8960881185491777,123.88372093023256,empty
31,147,44.62741699796952,0.9275208839581708,47.65986394557823,l23
32,15,1.4142135623730951,94.24777960769377,20.333333333333332,l23
33,33,21.31370849898476,0.9128633272113804,63.24242424242424,l23
34,257,101.1543289325507,0.31562692251077074,26.747081712062258,l23
35,35,21.31370849898476,0.9681883773454034,105.48571428571428,l23
36,132,55.04163056034262,0.547521544801918,36.196969696969695,l23
37,40,25.556349186104047,0.7696127048829098,78.875,l23
38,18,14.242640687119286,1.1150679494430014,27.833333333333332,l23
39,37,19.899494936611664,1.1741605384881055,74.1891891891892,l23
40,189,56.87005768508881,0.7343520822595939,33.507936507936506,l23
41,429,145.8050865276332,0.2535839756092087,25.745920745920746,l23
42,80,30.97056274847714,1.0480974335065736,33.5625,l23
43,219,57.11269837220809,0.8437011087169429,40.89497716894977,l23
44,130,40.62741699796952,0.989725575242221,70.93076923076923,l23
45,88,33.55634918610404,0.9820715413787476,42.30681818181818,l23
46,69,43.970562748477136,0.4484715596777,20.753623188405797,l23
47,802,209.40306627407986,0.2298360551067682,24.28927680798005,l23
48,19,14.071067811865476,1.205894607095892,39.89473684210526,l23
49,38,20.48528137423857,1.137914400511144,60.94736842105263,l23
50,63,49.071067811865476,0.32877546173237127,23.174603174603174,l23
51,130,77.31370849898475,0.2733003609491219,26.661538461538463,l23
52,150,99.3492424049175,0.1909730145800073,37.873333333333335,l23
53,37,24.82842712474619,0.7542462717905682,19.675675675675677,l23
54,36,20.727922061357855,1.0529332270693823,57.083333333333336,l23
55,168,82.21320343559643,0.3123460399313424,26.68452380952381,l23
56,37,20.242640687119284,1.1346900731413607,64.64864864864865,l23
57,48,22.48528137423857,1.193038470985961,98.08333333333333,l23
58,17,17.485281374238568,0.698736668063792,25.0,l23
59,26,26.656854249492383,0.45979624177214456,21.115384615384617,l23
60,45,24.727922061357855,0.924798531260901,52.91111111111111,l23
61,55,34.935028842544405,0.5663049284420381,18.545454545454547,l23
62,97,35.31370849898476,0.9774508818522197,124.9278350515464,l23
63,29,17.071067811865476,1.2505080359301415,65.3103448275862,l23
64,59,25.899494936611664,1.1052977491067864,104.55932203389831,l23
65,219,57.11269837220809,0.8437011087169429,54.31050228310502,l23
66,41,21.899494936611664,1.0742998693442378,55.48780487804878,l23
67,48,25.071067811865472,0.9596335836515365,57.541666666666664,l23
68,100,35.55634918610404,0.9939751772947624,53.0,l23
69,146,46.62741699796952,0.8438786597755721,44.41095890410959,l23
70,18,13.071067811865476,1.3239153988972323,45.5,l23
71,75,29.556349186104043,1.0788710755509408,67.01333333333334,l23
72,40,24.48528137423857,0.838416192112693,23.025,l23
73,59,33.72792206135786,0.6517524980386268,31.949152542372882,l23
74,67,28.14213562373095,1.063091298360852,112.56716417910448,l23
75,18,13.449747468305832,1.2504148100484347,69.16666666666667,l23
76,44,30.27817459305202,0.6031192116941488,43.65909090909091,l23
77,78,32.72792206135785,0.9150979916160761,97.46153846153847,l23
78,23,15.414213562373096,1.2164519430623795,47.43478260869565,l23
79,32,18.242640687119284,1.2083268721137757,74.8125,l23
80,22,17.44974746830583,0.9079339427531058,67.36363636363636,l23
81,137,40.970562748477136,1.0256202162501762,62.47445255474452,l23
82,107,38.384776310850235,0.9125898067014723,77.19626168224299,l23
83,147,43.55634918610404,0.9736979532359775,62.57142857142857,l23
84,35,19.899494936611667,1.1106924012725319,64.8,l23
85,15,11.65685424949238,1.3871977968913514,54.0,l23
86,145,42.384776310850235,1.0142804982477451,94.1103448275862,l23
87,54,25.65685424949238,1.0308531674519852,124.53703703703704,l23
88,71,30.72792206135785,0.9449347653367398,38.929577464788736,l23
89,74,29.899494936611667,1.0401928859019214,36.391891891891895,l23
90,114,45.45584412271571,0.6933224470370106,28.5,l23
91,73,30.14213562373095,1.0096821649459204,59.50684931506849,l23
92,22,21.48528137423857,0.5988946776803361,20.772727272727273,l23
93,364,110.53910524340094,0.37435131060019416,22.13736263736264,l23
94,84,40.21320343559643,0.6527574064529724,20.107142857142858,l23
95,100,34.97056274847714,1.0275539236232232,47.99,l23
96,53,23.899494936611664,1.1660261418771554,75.39622641509433,l23
97,63,27.31370849898476,1.0611800412661492,50.79365079365079,l23
98,40,24.14213562373095,0.8624193351242355,59.875,l23
99,144,61.42031021678298,0.47967639239906434,35.06944444444444,l23
100,35,19.65685424949238,1.138282013394669,57.91428571428571,l23
101,36,19.899494936611664,1.1424264698803188,80.38888888888889,l23
102,72,31.14213562373095,0.9329225206275139,61.013888888888886,l23
103,28,19.106601717798213,0.9638312294609198,48.57142857142857,l23
104,103,43.14213562373095,0.6954146078331935,36.1747572815534,l23
105,50,24.485281374238568,1.0480202401408665,58.48,empty
106,29,18.485281374238568,1.0664874046672153,42.62068965517241,l23
107,99,34.97056274847714,1.0172783843869908,159.5252525252525,l23
108,66,28.727922061357855,1.0049521225536397,121.22727272727273,l23
109,19,14.242640687119284,1.1770161688565015,50.0,l23
